id,group,grade,order,kanji,unicode,radical,onyomi,kunyomi,meaning_pt,jlpt,svg_path,vocabulary_1,reading_1,meaning_1,vocabulary_2,reading_2,meaning_2
441,Shougakko,4,1,愛,U+611B,心,アイ,,amor,N3,/kanji/611B.svg,愛情,あいじょう,afeição,愛する,あいする,amar
442,Shougakko,4,2,案,U+6848,木,アン,,plano / ideia,N3,/kanji/6848.svg,案内,あんない,guia,提案,ていあん,proposta
443,Shougakko,4,3,以,U+4EE5,人,イ,,a partir de,N3,/kanji/4EE5.svg,以上,いじょう,mais que,以前,いぜん,antes
444,Shougakko,4,4,衣,U+8863,衣,イ,ころも,roupa,N3,/kanji/8863.svg,衣服,いふく,vestuário,衣,ころも,roupa
445,Shougakko,4,5,位,U+4F4D,人,イ,くらい,posição / nível,N3,/kanji/4F4D.svg,地位,ちい,status,順位,じゅんい,classificação
446,Shougakko,4,6,囲,U+56F2,囗,イ,かこむ,cercar,N3,/kanji/56F2.svg,周囲,しゅうい,arredores,囲む,かこむ,cercar
447,Shougakko,4,7,胃,U+80C3,肉,イ,,estômago,N3,/kanji/80C3.svg,胃腸,いちょう,sistema digestivo,胃,い,estômago
448,Shougakko,4,8,印,U+5370,卩,イン,しるし,selo / marca,N4,/kanji/5370.svg,印刷,いんさつ,impressão,印,しるし,marca
449,Shougakko,4,9,英,U+82F1,艸,エイ,,Inglaterra / excelente,N4,/kanji/82F1.svg,英語,えいご,inglês,英雄,えいゆう,herói
450,Shougakko,4,10,栄,U+6804,木,エイ,さかえる,prosperar,N3,/kanji/6804.svg,栄養,えいよう,nutrição,栄える,さかえる,prosperar
451,Shougakko,4,11,塩,U+5869,土,エン,しお,sal,N4,/kanji/5869.svg,食塩,しょくえん,sal de cozinha,塩,しお,sal
452,Shougakko,4,12,億,U+5104,人,オク,,cem milhões,N3,/kanji/5104.svg,一億,いちおく,cem milhões,億円,おくえん,cem milhões de ienes
453,Shougakko,4,13,加,U+52A0,力,カ,くわえる,adicionar,N4,/kanji/52A0.svg,参加,さんか,participação,加える,くわえる,adicionar
454,Shougakko,4,14,果,U+679C,木,カ,はたす,fruto / resultado,N4,/kanji/679C.svg,結果,けっか,resultado,果物,くだもの,fruta
455,Shougakko,4,15,貨,U+8CA8,貝,カ,,mercadoria,N3,/kanji/8CA8.svg,貨物,かもつ,carga,通貨,つうか,moeda
456,Shougakko,4,16,課,U+8AB2,言,カ,,lição / seção,N3,/kanji/8AB2.svg,課題,かだい,tarefa,課長,かちょう,chefe de seção
457,Shougakko,4,17,芽,U+82BD,艸,ガ,め,broto,N3,/kanji/82BD.svg,発芽,はつが,germinação,芽,め,broto
458,Shougakko,4,18,賀,U+8CC0,貝,ガ,,felicitações,N3,/kanji/8CC0.svg,年賀状,ねんがじょう,cartão de ano novo,祝賀,しゅくが,celebração
459,Shougakko,4,19,改,U+6539,攴,カイ,あらためる,reformar,N3,/kanji/6539.svg,改善,かいぜん,melhoria,改める,あらためる,revisar
460,Shougakko,4,20,械,U+68B0,木,カイ,,máquina,N3,/kanji/68B0.svg,機械,きかい,máquina,器械,きかい,aparelho
461,Shougakko,4,21,害,U+5BB3,宀,ガイ,,dano / prejuízo,N3,/kanji/5BB3.svg,被害,ひがい,dano sofrido,害虫,がいちゅう,inseto nocivo
462,Shougakko,4,22,街,U+8857,行,ガイ|カイ,まち,rua / cidade,N3,/kanji/8857.svg,商店街,しょうてんがい,rua comercial,街,まち,cidade
463,Shougakko,4,23,各,U+5404,口,カク,おのおの,cada,N3,/kanji/5404.svg,各国,かっこく,cada país,各自,かくじ,cada pessoa
464,Shougakko,4,24,覚,U+899A,見,カク,おぼえる|さめる,memorizar / despertar,N3,/kanji/899A.svg,感覚,かんかく,sensação,覚える,おぼえる,memorizar
465,Shougakko,4,25,完,U+5B8C,宀,カン,,completo,N3,/kanji/5B8C.svg,完成,かんせい,conclusão,完全,かんぜん,completo
466,Shougakko,4,26,官,U+5B98,宀,カン,,funcionário público,N3,/kanji/5B98.svg,警官,けいかん,policial,官庁,かんちょう,órgão governamental
467,Shougakko,4,27,管,U+7BA1,竹,カン,くだ,tubo / administrar,N3,/kanji/7BA1.svg,管理,かんり,gerenciamento,水管,すいかん,cano de água
468,Shougakko,4,28,関,U+95A2,門,カン,せき,relacionamento / barreira,N4,/kanji/95A2.svg,関係,かんけい,relação,関心,かんしん,interesse
469,Shougakko,4,29,観,U+89B3,見,カン,,observar,N3,/kanji/89B3.svg,観光,かんこう,turismo,観察,かんさつ,observação
470,Shougakko,4,30,願,U+9858,頁,ガン,ねがう,desejar,N3,/kanji/9858.svg,願書,がんしょ,formulário de inscrição,願う,ねがう,desejar
471,Shougakko,4,31,希,U+5E0C,巾,キ,,esperança,N3,/kanji/5E0C.svg,希望,きぼう,esperança,希少,きしょう,raro
472,Shougakko,4,32,季,U+5B63,子,キ,,estação do ano,N4,/kanji/5B63.svg,季節,きせつ,estação,雨季,うき,estação chuvosa
473,Shougakko,4,33,紀,U+7D00,糸,キ,,era / registro,N3,/kanji/7D00.svg,世紀,せいき,século,紀元,きげん,era
474,Shougakko,4,34,喜,U+559C,口,キ,よろこぶ,alegria,N3,/kanji/559C.svg,喜劇,きげき,comédia,喜ぶ,よろこぶ,alegrar-se
475,Shougakko,4,35,旗,U+65D7,方,キ,はた,bandeira,N4,/kanji/65D7.svg,国旗,こっき,bandeira nacional,旗,はた,bandeira
476,Shougakko,4,36,器,U+5668,口,キ,うつわ,utensílio / instrumento,N3,/kanji/5668.svg,楽器,がっき,instrumento musical,器,うつわ,recipiente
477,Shougakko,4,37,機,U+6A5F,木,キ,,máquina / oportunidade,N3,/kanji/6A5F.svg,飛行機,ひこうき,avião,機会,きかい,oportunidade
478,Shougakko,4,38,議,U+8B70,言,ギ,,discussão,N3,/kanji/8B70.svg,会議,かいぎ,reunião,議員,ぎいん,parlamentar
479,Shougakko,4,39,求,U+6C42,水,キュウ,もとめる,procurar / exigir,N3,/kanji/6C42.svg,要求,ようきゅう,exigência,求める,もとめる,buscar
480,Shougakko,4,40,泣,U+6CE3,水,キュウ,なく,chorar,N4,/kanji/6CE3.svg,号泣,ごうきゅう,choro intenso,泣く,なく,chorar
481,Shougakko,4,41,救,U+6551,攴,キュウ,すくう,salvar,N3,/kanji/6551.svg,救急車,きゅうきゅうしゃ,ambulância,救う,すくう,salvar
482,Shougakko,4,42,給,U+7D66,糸,キュウ,,fornecer,N3,/kanji/7D66.svg,給食,きゅうしょく,merenda escolar,給与,きゅうよ,salário
483,Shougakko,4,43,挙,U+6319,手,キョ,あげる,erguer / eleger,N3,/kanji/6319.svg,選挙,せんきょ,eleição,挙げる,あげる,erguer
484,Shougakko,4,44,漁,U+6F01,水,ギョ|リョウ,,pesca,N3,/kanji/6F01.svg,漁業,ぎょぎょう,indústria pesqueira,漁船,ぎょせん,barco de pesca
